Active,positive,Crude.Rate,negativeIncrease,mean_winter_temp,totalTestResultsIncrease,population,mean_summer_temp,pct_white,Lat,mean_summer_rm,popdensity,older_percent,mean_winter_rm,Long_,population_frac_county,negative,medianhousevalue,totalTestResults,pct_asian,deathIncrease,hospitalizedIncrease,hispanic,pct_owner_occ,Province_State,education,poverty,pct_blk,pct_native,q_popdensity,mean_pm25,positiveIncrease,totalTestResults_county,Last_Update,Confirmed,medhouseholdincome
39,7725,1208.8,0,284.68167444206796,291,52618,305.19257485899897,0.7769955601910541,34.69847452,95.5697312995212,373.59380600000003,0.16974482444251998,86.95980546424191,-87.80168544,0.0108891284413447,84775,96800.0,92500,0.0046203837025474296,2,12,0.0268100671651504,0.717658303987085,Alabama,0.26357146608648396,0.10147492537601,0.17600883483557,0.00551898570047499,4,11.199232744967802,291,1007.2443808243901,0,41,41312.0
9,7725,1286.1,0,289.633038417994,291,12825,306.17935967336496,0.7529117953563629,31.43401703,97.42025044142281,18.06242,0.176041228351574,88.5030076910803,-86.99320044,0.00265409312897196,84775,87820.0,92500,0.00140421263791374,2,12,0.007265344662448641,0.8555976552780259,Alabama,0.22885257640946602,0.101569872945052,0.23817306117957,0.0019057171514543603,1,10.3751379964825,291,245.503614429906,0,9,35923.2
29,7725,1183.7,0,287.429773419754,291,12790,305.524819412914,0.8005414511306329,32.93690146,96.40850416032178,20.7520044,0.16596501803544902,87.18013462248051,-86.24847739,0.00264684998982856,84775,99100.0,92500,0.0,2,12,0.0012440042874178,0.839989999419433,Alabama,0.20790598599216398,0.0948276694034635,0.19404986421362602,0.00027886224205242596,2,11.841385094677902,291,244.833624059142,0,30,41014.0
44,7725,1350.1,0,290.17570766172,291,37250,306.442626726757,0.675211288735772,31.247785399999998,98.02485009293791,100.777184444444,0.18559349150292703,89.3449813748398,-86.45050893,0.007708769516897109,84775,95751.8518518519,92500,0.00239450451073647,2,12,0.0243408199968291,0.8109988734627191,Alabama,0.403736708391177,0.11324260467330499,0.266453141495176,0.0026474256459553197,3,10.4668283656942,291,713.0611803129821,0,45,34914.8888888889
23,7725,1301.3,0,289.21801968265,291,15034,306.110220957487,0.782613013042874,31.72941803,97.4389849071392,21.1398685714286,0.168573473013933,89.4949946944586,-86.31593104,0.0031112386823364,84775,81971.42857142861,92500,0.0040518208135429,2,12,0.0150559903319625,0.777730679589134,Alabama,0.318562197876011,0.134644920055277,0.179823885458392,0.00903582955989767,2,10.8184611214397,291,287.78957811611696,0,23,37282.5714285714
58,7725,1159.1,0,285.433413370634,291,78927,305.048613701237,0.958514176718992,34.13020303,95.4208343432,115.066659090909,0.158220039410837,85.91564733285891,-86.86888037,0.0163336926620171,84775,113527.27272727301,92500,0.0037939455918811703,2,12,0.0283548108802961,0.797770121383251,Alabama,0.277992780385018,0.10132356310671,0.00750572929551196,0.004456042816217629,3,11.699903102755,291,1510.8665712365803,0,58,36965.363636363596
34,7725,940.7,0,289.822548575658,291,43283,306.16889542451696,0.8080334361352309,31.43037123,96.89369761418051,85.01207285714291,0.13615755298638302,86.0520810443564,-85.61095742,0.00895727975838543,84775,105171.526660651,92500,0.007328844210066241,2,12,0.0453562700664232,0.600011613621269,Alabama,0.18105540603731896,0.0828807795820693,0.14005899424548002,0.00467055435318334,3,10.872221931378801,291,828.548377650653,0,34,44733.7142857143
56,7725,1244.2,0,288.363973199797,291,43062,306.333884575579,0.308282365963208,32.32688101,96.00506372314541,31.73972575,0.143011090371714,86.6117414019941,-87.10866709999999,0.00891154450836572,84775,70887.5,92500,0.000868200821161356,2,12,0.0312928025688518,0.6660167570376291,Alabama,0.30520072130452197,0.25040378884396,0.6811901475781199,0.000791810809541684,2,11.764776165722001,291,824.3178670238291,0,59,27206.625
77,7725,1051.7,0,283.933808828392,291,70053,303.821978780487,0.905374460699019,34.45946862,97.4430103557967,91.35814133333331,0.14296878346259698,88.86332411134751,-85.80782906,0.0144972464689179,84775,97120.0,92500,0.00198160310331177,2,12,0.0711396364372091,0.7528371067499671,Alabama,0.36090155515107,0.122847653376888,0.00857018601569217,0.0199735882892911,3,10.6600280415121,291,1340.99529837491,0,79,36650.3333333333
101,7725,874.8,0,288.080583608154,291,87543,305.93517601480096,0.7507161429972471,32.59785413,96.2037698247628,203.18993999999998,0.120608952074284,87.15376152763491,-86.14415284,0.0181167465722879,84775,147911.111111111,92500,0.00310600400255002,2,12,0.0227107645380025,0.774763421695894,Alabama,0.17725832216449106,0.0615055544297637,0.21818765484667202,0.00343961616643857,3,11.883182960675398,291,1675.7990579366299,0,103,54230.8888888889
